season,SppAlphaCode,avg_abund,sd_abund,max_abund,sum_abund,ScientificName,CommonNameEnglish
breeding,AMKE,1.1534090909090908,0.44630517775207545,4,203,Falco sparverius,American Kestrel
breeding,AMRE,1,0,1,2,Setophaga ruticilla,American Redstart
breeding,ANPS,4.5625,2.8498044743751585,19,1898,Tachornis phoenicobia,Antillean Palm-Swift
breeding,BANA,3.3957446808510636,2.370928892917321,18,1596,Coereba flaveola,Bananaquit
breeding,BARS,5.178571428571429,9.03922961085025,50,145,Hirundo rustica,Barn Swallow
breeding,BLSW,1,NA,1,1,Cypseloides niger,Black Swift
breeding,BPLT,2.086206896551724,2.598028261416683,35,363,Phaenicophilus palmarum,Black-crowned Palm-Tanager
breeding,BRNO,1,NA,1,1,Anous stolidus,Brown Noddy
breeding,BRPE,6.666666666666667,8.523445477447343,42,260,Pelecanus occidentalis,Brown Pelican
breeding,BUDG,1.2,0.44721359549995793,2,6,NA,NA
breeding,CAEG,1.5555555555555556,1.0137937550497031,4,14,Bubulcus ibis,Cattle Egret
breeding,CAMA,2.6578947368421053,2.145088228668446,17,202,Progne dominicensis,Caribbean Martin
breeding,CASW,3.5,0.5477225575051661,4,21,Petrochelidon fulva,Cave Swallow
breeding,CGDO,2.2473684210526317,1.9429511109599782,26,854,Columbina passerina,Common Ground Dove
breeding,COTE,1.75,1.2583057392117916,3,7,Sterna hirundo,Common Tern
breeding,COYE,1.6666666666666667,0.5773502691896257,2,5,Geothlypis trichas,Common Yellowthroat
breeding,EUCD,2.053763440860215,1.5489518994822824,11,191,Streptopelia decaocto,Eurasian Collared-Dove
breeding,GAGR,3.1363636363636362,2.2317077498004707,8,69,Quiscalus niger,Greater Antillean Grackle
breeding,GRAK,2.2494172494172493,1.7159997183682987,19,965,Tyrannus dominicensis,Gray Kingbird
breeding,GREG,1.3333333333333333,0.5773502691896257,2,4,Ardea alba,Great Egret
breeding,GRHE,1.5,1.286019499792345,5,21,Butorides virescens,Green Heron
breeding,HILC,1.1,0.30779350562554625,2,22,Coccyzus longirostris,Hispaniolan Lizard-Cuckoo
breeding,HIMA,1.1789473684210525,0.8726162980167553,12,224,Anthracothorax dominicus,Hispaniolan Mango
breeding,HIWO,2.7494949494949497,2.1638067060176214,28,1361,Melanerpes striatus,Hispaniolan Woodpecker
breeding,HOSP,7.782881002087683,6.407601987528544,56,3728,Passer domesticus,House Sparrow
breeding,HPAK,9.685950413223141,15.454459774631761,128,3516,Psittacara chloropterus,Hispaniolan Parakeet
breeding,HPAT,2.816326530612245,1.379514851130569,6,138,Amazona ventralis,Hispaniolan Parrot
breeding,LAGU,1,NA,1,1,Leucophaeus atricilla,Laughing Gull
breeding,LETE,2.5,0.7071067811865476,3,5,Sternula antillarum,Least Tern
breeding,MAFR,1.0769230769230769,0.2773500981126146,2,14,Fregata magnificens,Magnificent Frigatebird
breeding,MODO,3.0173745173745172,3.513676960407145,69,1563,Zenaida macroura,Mourning Dove
breeding,NOMO,2.05607476635514,1.4524176102524857,12,440,Mimus polyglottos,Northern Mockingbird
breeding,OSPR,1,NA,1,1,Pandion haliaetus,Osprey
breeding,PALM,10.734806629834255,10.22151447775703,74,5829,Dulus dominicus,Palmchat
breeding,PETH,1,0,1,5,Margarops fuscatus,Pearly-eyed Thrasher
breeding,RLTH,1.4857142857142858,0.9813384788563188,6,52,Turdus plumbeus,Red-legged Thrush
breeding,ROPI,29.213307240704502,54.079457690871415,400,14928,Columba livia,Rock Pigeon
breeding,ROYT,3,1.7693034738587656,7,72,Thalasseus maximus,Royal Tern
breeding,SATE,3,1,4,9,Thalasseus sandvicensis,Sandwich Tern
breeding,SBMU,5.166666666666667,3.763863263545405,12,31,Lonchura punctulata,Scaly-breasted Munia
breeding,SHCO,4.625,8.29694436008135,25,37,Molothrus bonariensis,Shiny Cowbird
breeding,SNEG,1,NA,1,1,Egretta thula,Snowy Egret
breeding,SPSA,1.3333333333333333,0.5163977794943222,2,8,Actitis macularius,Spotted Sandpiper
breeding,SUCO,1,NA,1,1,Cacatua galerita,Sulphur-crested Cockatoo
breeding,TRHE,1,NA,1,1,Egretta tricolor,Tricolored Heron
breeding,TUVU,1,NA,1,1,Cathartes aura,Turkey Vulture
breeding,VEHU,1.2666666666666666,0.7419961008766208,8,266,Mellisuga minima,Vervain Hummingbird
breeding,VIWE,6.55,5.334150781236131,23,524,Ploceus cucullatus,Village Weaver
breeding,WCSW,1,NA,1,1,Streptoprocne zonaris,White-collared Swift
breeding,WWDO,5.969094922737307,12.23222634466696,130,2704,Zenaida asiatica,White-winged Dove
breeding,YCNH,1.5,0.97182531580755,4,15,Nyctanassa violacea,Yellow-crowned Night-Heron
breeding,YFGR,2.3043478260869565,1.1833924518445222,9,530,Tiaris olivaceus,Yellow-faced Grassquit
breeding,YTWA,1.5,0.7071067811865476,2,3,Setophaga dominica,Yellow-throated Warbler
fallmigr,AMKE,1.1069418386491556,0.3546265514196603,3,590,Falco sparverius,American Kestrel
fallmigr,AMRE,1.3270676691729324,1.042496483542968,16,706,Setophaga ruticilla,American Redstart
fallmigr,ANPS,4.8264,3.806711951895988,32,6033,Tachornis phoenicobia,Antillean Palm-Swift
fallmigr,BANA,3.2852004110996917,2.6468892127933663,43,6393,Coereba flaveola,Bananaquit
fallmigr,BAOR,1.3333333333333333,0.5773502691896257,2,4,Icterus galbula,Baltimore Oriole
fallmigr,BARS,4.715686274509804,4.823745557301305,56,962,Hirundo rustica,Barn Swallow
fallmigr,BAWW,1.2419354838709677,0.8235366330245235,7,77,Mniotilta varia,Black-and-white Warbler
fallmigr,BBPL,5,NA,5,5,Pluvialis squatarola,Black-bellied Plover
fallmigr,BEKI,1.0769230769230769,0.2773500981126146,2,14,Megaceryle alcyon,Belted Kingfisher
fallmigr,BLPW,3.754385964912281,2.8802325163727542,22,214,Setophaga striata,Blackpoll Warbler
fallmigr,BPLT,1.8553008595988538,0.7328971879600689,10,1295,Phaenicophilus palmarum,Black-crowned Palm-Tanager
fallmigr,BRNO,1,0,1,3,Anous stolidus,Brown Noddy
fallmigr,BRPE,3.586206896551724,3.1415367057481944,16,520,Pelecanus occidentalis,Brown Pelican
fallmigr,BTBW,1.5,1,3,6,Setophaga caerulescens,Black-throated Blue Warbler
fallmigr,BTNW,1,NA,1,1,Setophaga virens,Black-throated Green Warbler
fallmigr,BUDG,1,0,1,11,NA,NA
fallmigr,BWVI,1,0,1,2,Vireo altiloquus,Black-whiskered Vireo
fallmigr,CAEG,2.629032258064516,2.1896468086162533,10,163,Bubulcus ibis,Cattle Egret
fallmigr,CAMA,3.6951219512195124,3.704148573101646,20,303,Progne dominicensis,Caribbean Martin
fallmigr,CASW,3.25,1.8322507626258087,7,26,Petrochelidon fulva,Cave Swallow
fallmigr,CATE,3,NA,3,3,Hydroprogne caspia,Caspian Tern
fallmigr,CGDO,2.189088191330344,1.5332662930815188,16,2929,Columbina passerina,Common Ground Dove
fallmigr,CMWA,1.8924455825864277,1.4896934071665424,11,1478,Setophaga tigrina,Cape May Warbler
fallmigr,COGA,1,0,1,2,Gallinula galeata,Common Gallinule
fallmigr,COTE,3.3076923076923075,2.462019183828278,13,86,Sterna hirundo,Common Tern
fallmigr,COYE,1.3877551020408163,1.0957555713337002,8,68,Geothlypis trichas,Common Yellowthroat
fallmigr,CSWA,1,NA,1,1,Setophaga pensylvanica,Chestnut-sided Warbler
fallmigr,EUCD,2.6169934640522876,2.1430452121620855,17,2002,Streptopelia decaocto,Eurasian Collared-Dove
fallmigr,FTFL,1,NA,1,1,Tyrannus savana,Fork-tailed Flycatcher
fallmigr,GAGR,3.030534351145038,1.8808301411782957,11,397,Quiscalus niger,Greater Antillean Grackle
fallmigr,GBTE,1,NA,1,1,Gelochelidon nilotica,Gull-billed Tern
fallmigr,GRAK,2.228195937873357,2.7437729478003314,40,3730,Tyrannus dominicensis,Gray Kingbird
fallmigr,GREG,1.75,1.1639753904947558,5,56,Ardea alba,Great Egret
fallmigr,GRHE,1.2857142857142858,0.5345224838248488,3,36,Butorides virescens,Green Heron
fallmigr,HILC,1.0769230769230769,0.2685430777647873,2,70,Coccyzus longirostris,Hispaniolan Lizard-Cuckoo
fallmigr,HIMA,1.1313131313131313,0.7203187567630461,16,784,Anthracothorax dominicus,Hispaniolan Mango
fallmigr,HIWO,2.327428878153516,1.7158934166043853,17,4336,Melanerpes striatus,Hispaniolan Woodpecker
fallmigr,HOSP,6.087033747779751,6.4184736912695355,165,10281,Passer domesticus,House Sparrow
fallmigr,HOWA,1,0,1,3,Setophaga citrina,Hooded Warbler
fallmigr,HPAK,12.927431059506532,15.428113411774858,142,17814,Psittacara chloropterus,Hispaniolan Parakeet
fallmigr,HPAT,3.4859154929577465,2.4516195703311325,15,495,Amazona ventralis,Hispaniolan Parrot
fallmigr,KILL,1,0,1,2,Charadrius vociferus,Killdeer
fallmigr,LAGU,1,NA,1,1,Leucophaeus atricilla,Laughing Gull
fallmigr,LESA,1,NA,1,1,Calidris minutilla,Least Sandpiper
fallmigr,LETE,1.8181818181818181,0.873862897505303,4,20,Sternula antillarum,Least Tern
fallmigr,LEYE,2,NA,2,2,Tringa flavipes,Lesser Yellowlegs
fallmigr,MACU,0,NA,0,0,Coccyzus minor,Mangrove Cuckoo
fallmigr,MAFR,1.5,0.8090398349558905,4,84,Fregata magnificens,Magnificent Frigatebird
fallmigr,MAWA,1,NA,1,1,Setophaga magnolia,Magnolia Warbler
fallmigr,MERL,1.0406976744186047,0.19816580391811614,2,179,Falco columbarius,Merlin
fallmigr,MODO,2.606394129979036,2.1899089243182543,37,4973,Zenaida macroura,Mourning Dove
fallmigr,NOMO,1.8952007835455436,1.1831274954250526,9,1935,Mimus polyglottos,Northern Mockingbird
fallmigr,NOPA,1.380281690140845,1.3063173190454618,15,392,Setophaga americana,Northern Parula
fallmigr,NOWA,1,0,1,2,Parkesia noveboracensis,Northern Waterthrush
fallmigr,NRWS,58,NA,58,58,Stelgidopteryx serripennis,Northern Rough-winged Swallow
fallmigr,OSPR,1.0571428571428572,0.3380617018914066,3,37,Pandion haliaetus,Osprey
fallmigr,OVEN,1.25,0.4629100498862757,2,10,Seiurus aurocapilla,Ovenbird
fallmigr,PALM,8.682106289614822,10.072486875348256,209,17807,Dulus dominicus,Palmchat
fallmigr,PAWA,1,0,1,2,Setophaga palmarum,Palm Warbler
fallmigr,PBGR,1,NA,1,1,Podilymbus podiceps,Pied-billed Grebe
fallmigr,PEFA,1.0985915492957747,0.30023465001632066,2,78,Falco peregrinus,Peregrine Falcon
fallmigr,PETH,1,0,1,9,Margarops fuscatus,Pearly-eyed Thrasher
fallmigr,PRAW,1.1979166666666667,0.5734437368201397,4,115,Setophaga discolor,Prairie Warbler
fallmigr,PROW,3,1.4142135623730951,4,6,Protonotaria citrea,Prothonotary Warbler
fallmigr,PUMA,3,NA,3,3,Progne subis,Purple Martin
fallmigr,RBGR,1,NA,1,1,Pheucticus ludovicianus,Rose-breasted Grosbeak
fallmigr,REVI,1,NA,1,1,Vireo olivaceus,Red-eyed Vireo
fallmigr,RLTH,1.4814814814814814,0.7759180738763638,5,280,Turdus plumbeus,Red-legged Thrush
fallmigr,ROPI,30.198014888337468,55.72864811285459,612,60849,Columba livia,Rock Pigeon
fallmigr,ROYT,5.629370629370629,5.462649516667548,35,805,Thalasseus maximus,Royal Tern
fallmigr,RUTU,2.6666666666666665,1.505545305418162,5,16,Arenaria interpres,Ruddy Turnstone
fallmigr,SATE,4.641025641025641,4.37388890845844,26,181,Thalasseus sandvicensis,Sandwich Tern
fallmigr,SBMU,5.821428571428571,4.643223428774864,25,163,Lonchura punctulata,Scaly-breasted Munia
fallmigr,SEPL,1.8333333333333333,0.752772652709081,3,11,Charadrius semipalmatus,Semipalmated Plover
fallmigr,SESA,1,0,1,2,Calidris pusilla,Semipalmated Sandpiper
fallmigr,SHCO,1.25,0.5,2,5,Molothrus bonariensis,Shiny Cowbird
fallmigr,SNEG,2.125,2.416461403433896,8,17,Egretta thula,Snowy Egret
fallmigr,SNPI,1.5714285714285714,0.5345224838248488,2,11,Patagioenas squamosa,Scaly-naped Pigeon
fallmigr,SOSA,1,NA,1,1,Tringa solitaria,Solitary Sandpiper
fallmigr,SPSA,1.2758620689655173,0.5861891033205792,3,74,Actitis macularius,Spotted Sandpiper
fallmigr,SUCO,1,NA,1,1,Cacatua galerita,Sulphur-crested Cockatoo
fallmigr,TRHE,3,NA,3,3,Egretta tricolor,Tricolored Heron
fallmigr,TUVU,3,2.581988897471611,8,21,Cathartes aura,Turkey Vulture
fallmigr,UNEM,1,NA,1,1,Empidonax (sp),Unidentified Empidonax
fallmigr,VEHU,1.178893178893179,0.5722692306401185,7,916,Mellisuga minima,Vervain Hummingbird
fallmigr,VIWE,7.349514563106796,6.602599248506019,45,1514,Ploceus cucullatus,Village Weaver
fallmigr,WCPI,1,NA,1,1,Patagioenas leucocephala,White-crowned Pigeon
fallmigr,WWDO,5.420477815699659,9.664204474874895,140,7941,Zenaida asiatica,White-winged Dove
fallmigr,YBCU,1,NA,1,1,Coccyzus americanus,Yellow-billed Cuckoo
fallmigr,YCNH,1.7567567567567568,1.18802837146737,6,65,Nyctanassa violacea,Yellow-crowned Night-Heron
fallmigr,YFGR,2.3388773388773387,1.4294093973782327,22,2250,Tiaris olivaceus,Yellow-faced Grassquit
fallmigr,YTWA,1,0.30151134457776363,2,23,Setophaga dominica,Yellow-throated Warbler
ovrwintr,AMKE,1.1315192743764173,0.4220401803527711,6,499,Falco sparverius,American Kestrel
ovrwintr,AMRE,1.236842105263158,0.8441295595792132,16,611,Setophaga ruticilla,American Redstart
ovrwintr,ANPS,4.802575107296137,4.009075876991917,61,4476,Tachornis phoenicobia,Antillean Palm-Swift
ovrwintr,BANA,3.068877551020408,2.161117384601169,23,4812,Coereba flaveola,Bananaquit
ovrwintr,BARS,3.3529411764705883,1.8351149988007645,8,57,Hirundo rustica,Barn Swallow
ovrwintr,BAWW,1.1136363636363635,0.3867520743564635,3,49,Mniotilta varia,Black-and-white Warbler
ovrwintr,BCNH,2,0,2,4,Nycticorax nycticorax,Black-crowned Night-Heron
ovrwintr,BEKI,1,0,1,6,Megaceryle alcyon,Belted Kingfisher
ovrwintr,BPLT,1.8786764705882353,0.5789312676228077,4,1022,Phaenicophilus palmarum,Black-crowned Palm-Tanager
ovrwintr,BRPE,2.8205128205128207,2.332733281439226,17,330,Pelecanus occidentalis,Brown Pelican
ovrwintr,BUDG,0.875,0.3535533905932738,1,7,NA,NA
ovrwintr,CAEG,2.7666666666666666,2.6997232723237463,13,83,Bubulcus ibis,Cattle Egret
ovrwintr,CAMA,2.3333333333333335,1.1729818944990988,5,112,Progne dominicensis,Caribbean Martin
ovrwintr,CASW,4,0,4,8,Petrochelidon fulva,Cave Swallow
ovrwintr,CGDO,2.0897571277719114,1.3010691018383065,13,1979,Columbina passerina,Common Ground Dove
ovrwintr,CMWA,1.9304029304029304,1.5260704956659157,13,1581,Setophaga tigrina,Cape May Warbler
ovrwintr,COTE,3.8333333333333335,4.4907311951024935,12,23,Sterna hirundo,Common Tern
ovrwintr,COYE,1.1612903225806452,0.373878250552983,2,36,Geothlypis trichas,Common Yellowthroat
ovrwintr,EUCD,2.5834932821497123,2.2337524664126915,16,1346,Streptopelia decaocto,Eurasian Collared-Dove
ovrwintr,GAGR,3,1.8942637868358374,10,309,Quiscalus niger,Greater Antillean Grackle
ovrwintr,GRAK,2.2099039172209904,2.6805219077377194,51,2990,Tyrannus dominicensis,Gray Kingbird
ovrwintr,GREG,1.2222222222222223,0.4277926319464986,2,22,Ardea alba,Great Egret
ovrwintr,GRHE,1.105263157894737,0.3153017676423058,2,21,Butorides virescens,Green Heron
ovrwintr,HILC,1.0862068965517242,0.3394775531230455,3,63,Coccyzus longirostris,Hispaniolan Lizard-Cuckoo
ovrwintr,HIMA,1.1566265060240963,1.2573991333476822,28,576,Anthracothorax dominicus,Hispaniolan Mango
ovrwintr,HIWO,2.2893533638145005,1.7798465931966836,19,3505,Melanerpes striatus,Hispaniolan Woodpecker
ovrwintr,HOSP,6.523168908819133,8.128630332803901,178,8728,Passer domesticus,House Sparrow
ovrwintr,HPAK,12.485614646904969,16.857334658807048,152,14321,Psittacara chloropterus,Hispaniolan Parakeet
ovrwintr,HPAT,3.0620689655172413,1.9301003487699386,15,444,Amazona ventralis,Hispaniolan Parrot
ovrwintr,LAGU,0.5,0.7071067811865476,1,1,Leucophaeus atricilla,Laughing Gull
ovrwintr,LETE,2,NA,2,2,Sternula antillarum,Least Tern
ovrwintr,LEYE,2,NA,2,2,Tringa flavipes,Lesser Yellowlegs
ovrwintr,MACU,1,0,1,2,Coccyzus minor,Mangrove Cuckoo
ovrwintr,MAFR,1.4761904761904763,0.6796357567879738,3,31,Fregata magnificens,Magnificent Frigatebird
ovrwintr,MAWA,1,NA,1,1,Setophaga magnolia,Magnolia Warbler
ovrwintr,MERL,1.030674846625767,0.17296659505632167,2,168,Falco columbarius,Merlin
ovrwintr,MODO,2.6906112161310647,2.146743054535037,30,4270,Zenaida macroura,Mourning Dove
ovrwintr,NOMO,1.8924050632911393,1.10641316960504,8,1495,Mimus polyglottos,Northern Mockingbird
ovrwintr,NOPA,1.237851662404092,0.5967428587574372,5,484,Setophaga americana,Northern Parula
ovrwintr,OSPR,1.0714285714285714,0.2672612419124244,2,15,Pandion haliaetus,Osprey
ovrwintr,OVEN,1,0,1,4,Seiurus aurocapilla,Ovenbird
ovrwintr,PALM,7.950314465408805,8.560048686023393,112,12641,Dulus dominicus,Palmchat
ovrwintr,PAWA,1.5,0.7071067811865476,2,3,Setophaga palmarum,Palm Warbler
